A superhero fights aliens to save Earth,Action
A secret agent infiltrates an enemy organization,Action
A military commander leads troops into battle,Action
A police officer protects the city from a gang,Action
A skilled assassin takes on a dangerous mission,Action
A warrior defends his kingdom from invaders,Action
A fighter enters a deadly tournament,Action
A rescue team saves civilians during a disaster,Action
A vigilante hunts criminals in the city,Action
A soldier risks his life for his country,Action

A young woman falls in love with a prince,Romance
Two childhood friends discover their feelings,Romance
A couple reconnects after many years apart,Romance
Love grows between two coworkers,Romance
A student falls in love with a classmate,Romance
A romantic holiday changes two lives forever,Romance
A writer finds love in an unexpected place,Romance
A man travels across the country for love,Romance
Two strangers meet and form a deep connection,Romance
A couple faces obstacles before getting married,Romance

A haunted doll terrorizes a family,Horror
A cursed object brings misfortune to everyone,Horror
A group of teenagers enter a haunted house,Horror
A ghost appears every night in a small town,Horror
An evil spirit haunts an abandoned church,Horror
A family moves into a cursed mansion,Horror
A monster emerges from the darkness,Horror
A terrifying creature stalks campers in a forest,Horror
A mysterious curse spreads through a village,Horror
People disappear after entering a haunted tunnel,Horror

A detective investigates a series of murders,Thriller
A criminal mastermind plans a dangerous heist,Thriller
An officer races against time to stop a bomb,Thriller
A witness uncovers a deadly conspiracy,Thriller
A lawyer becomes trapped in a dangerous case,Thriller
A journalist investigates government corruption,Thriller
A mysterious killer leaves clues behind,Thriller
A detective follows evidence to catch a murderer,Thriller
A man becomes involved in an international crime ring,Thriller
A secret investigation reveals shocking truths,Thriller

A man accidentally becomes a movie star,Comedy
A family vacation turns into a disaster,Comedy
Two friends create a series of funny problems,Comedy
A student becomes famous because of a prank,Comedy
A wedding day is filled with hilarious mistakes,Comedy
A clumsy employee causes chaos at work,Comedy
A group of neighbors get into funny situations,Comedy
A comedian travels the world making people laugh,Comedy
A funny misunderstanding creates confusion everywhere,Comedy
A road trip becomes a hilarious adventure,Comedy
